City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,sibiti,-3.6819,13.3499,294.64,99,100,0.81,CG,1714705212
371,sidi ifni,29.3797,-10.173,288.01,86,3,2.26,MA,1714705212
372,remire-montjoly,4.9167,-52.2667,298.17,100,75,0.51,GF,1714705172
373,pontianak,-0.0333,109.3333,303.14,84,20,2.57,ID,1714705212
374,mboursou lere,9.7639,14.1539,304.04,43,100,3.31,TD,1714705212
375,yangju,37.8331,127.0617,299.25,23,0,1.35,KR,1714705213
376,nyurba,63.2842,118.3319,272.87,94,52,1.22,RU,1714705213
377,gunnison,38.7,-107.0673,277.62,65,1,1.62,US,1714705213
378,auki,-8.7676,160.7034,303.35,70,100,1.05,SB,1714705213
379,peace river,56.2501,-117.286,290.32,25,75,3.6,CA,1714705212
380,hasaki,35.7333,140.8333,294.37,47,2,4.84,JP,1714705213
381,kupang,-10.1667,123.5833,306.47,58,20,7.2,ID,1714705213
382,ixtapa,20.7,-105.2,294.13,80,18,1.03,MX,1714705208
383,maceio,-9.6658,-35.7353,298.84,94,75,1.54,BR,1714705121
384,fort bragg,35.139,-79.006,297.44,68,0,3.6,US,1714705214
385,port isabel,26.0734,-97.2086,299.91,90,100,6.69,US,1714705205
386,murun-kuren,49.6342,100.1625,283.67,36,0,4.37,MN,1714705214
387,vylkove,45.4021,29.586,286.27,62,100,2.0,UA,1714705214
388,sept-iles,50.2001,-66.3821,279.2,78,75,2.57,CA,1714704962
389,carnarvon,-24.8667,113.6333,302.34,29,0,2.46,AU,1714705215
390,newman,37.3138,-121.0208,293.49,49,0,2.39,US,1714705193
391,la reforma,25.0833,-108.05,293.5,83,0,1.22,MX,1714705215
392,port douglas,-16.4833,145.4667,298.52,81,79,7.08,AU,1714705215
393,inarajan village,13.2736,144.7484,303.65,81,73,6.07,GU,1714705216
394,misratah,32.3754,15.0925,291.47,65,0,3.98,LY,1714705216
395,puerto lempira,15.2667,-83.7667,299.5,74,78,3.84,HN,1714705216
